NC1	NC2	NC3	NC4	NC5
Zm00001d027384	0.84260512787624	0.80380814650953	0.683825878893499	0.885335282738011	1.34991701132414
Zm00001d027344	1.89834355115823	1.38620595421113	0.730779467172365	1.49209765945724	2.83890855492836
Zm00001d027387	0.304681187232522	0.706232136936628	1.09392325714998	0.656333638070669	1.56906127628585
Zm00001d027388	0.187500844673709	0.159894182855713	0.0043288772452582	0.15161424329517	0.340174558632112
Zm00001d027386	0.80890080235302	0.262460098636569	0.200028071561776	0.261153163264176	0.951192946607206
Zm00001d027385	3.12352255443484	1.63032608770097	1.0021847423749	1.44577143198229	3.07049999118123
Zm00001d027389	4.01879293518957	1.73219668153534	1.29026437467548	1.96748923797041	3.45200748823146
Zm00001d027383	1.87070575322619	0.708465798364786	0.164196535811032	1.62254273178197	1.42296445626236
Zm00001d027373	3.14481966006878	0.865983582896312	1.11637718408725	1.84451924657479	2.29545712948678
Zm00001d027376	1.47271062244073	0.830318402758019	0.89593490589599	1.13937251011504	1.65201476593005
Zm00001d027299	2.30526369632165	1.16683007486125	0.657122518711011	0.981615218605105	2.87731808482874
Zm00001d022653	0.551405881124513	0.568620734851483	0.308980898041464	0.28254505805019	0.988749362075549
Zm00001d027334	1.29056374970415	0.963135879306337	0.967540810406143	0.928438672488423	1.89471688585178
Zm00001d027393	0.355675502463955	0.186127766560032	0.220116932389794	0.412437544697488	0.693243689316534
Zm00001d027394	3.2314890559439	1.25467950959686	1.07479355703514	2.10121218320745	2.91657201084176
Zm00001d027395	1.32653076424479	0.209528429030275	0.419072843569362	0.111794533081603	1.32242840640877
Zm00001d027399	3.21615557009545	1.68823077824378	0.916594416224753	1.49953017879757	2.81223854756248
Zm00001d027404	0.222294584791094	0.243568964418702	0.0784828170882454	0.087600314976875	0.117460821752608
Zm00001d027405	0.00992285774829589	0.021930035841647	0.0626006335764723	0	0.0337261624465007
Zm00001d027409	0	0.119659278280759	0.00626758033550601	0	0.012559362617918
Zm00001d027403	0.652864972280554	0.330018348783918	0.528201964150676	0.643538258936101	1.0326122935189
Zm00001d027411	0.123687921230267	0.445880650054741	0.13193860065367	0.0675815381412999	0.692294554610624
Zm00001d027401	2.46200408734566	1.50928726959936	1.0449126677144	0.951766780112805	3.15379223263189
Zm00001d027402	0.1814863736264	0.232207544850842	0	0.087864329455712	0.228555592326103
Zm00001d027416	0.47257116112943	0.162610998312269	0.235259418304779	0.378913271193359	0.41465389724947
Zm00001d027419	0.0626222700567244	0	0	0.0236966023090845	0
Zm00001d027333	3.30865101460693	2.00217708407279	1.11005177732258	1.69603689121808	4.08100362188553
Zm00001d027421	2.48013943112472	1.24511329417161	0.476722265262754	0.768560062432658	2.06429645317378
Zm00001d027424	0	0	0	0.0480188527754195	0.16714320523522
Zm00001d027423	0.81764050375418	1.88293079854891	1.488950287343	0.898833025798305	0.606352309956588
Zm00001d027422	1.64826875204262	0.632368996559311	0.212574775617049	1.17005833664479	1.12158142156328
Zm00001d027415	3.27237505054217	1.84131596130491	1.05301102744522	0.469903661039806	3.58293455229609
Zm00001d027425	2.34911334680934	1.19384816622265	0.839311150805081	1.27386129387197	3.04526065879299
Zm00001d022658	0.00794887071041096	0.0463275119395465	0.031583869936551	0.0326745482749822	0.0986843191121375
Zm00001d027428	0	0	0	0.0010395495523245	0.0573815742038245
Zm00001d027429	3.04922207959313	1.45406758010129	1.04715691062699	1.60169178811672	3.45899455667075
Zm00001d027427	4.48827882177881	3.03086000023239	1.36030292267583	1.96636083496005	5.30701539664808
Zm00001d022659	0	0.209173643692644	0.0650612330637327	0.169289799642563	0.245598319796225
